item_id,target_id,ground_truth,reviewer_name,human_classification,human_confidence,gpt_classification,gpt_confidence,gpt_reasoning,agreement
STAR-001,KIC3000001,False_Positive,Professor_A,False_Positive,4.6,False_Positive,3.0,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,True
STAR-002,KIC3000002,False_Positive,Professor_A,Eclipsing_Binary,3.9,False_Positive,3.0,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,False
STAR-003,KIC3000003,False_Positive,Professor_A,False_Positive,4.3,False_Positive,4.1,The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-004,KIC3000004,False_Positive,Professor_A,False_Positive,3.1,False_Positive,4.7,The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-005,KIC3000005,False_Positive,Professor_A,False_Positive,3.6,False_Positive,4.6,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process.,True
STAR-006,KIC3000006,False_Positive,Professor_A,False_Positive,4.1,False_Positive,2.9,The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,True
STAR-007,KIC3000007,False_Positive,Professor_A,False_Positive,3.7,False_Positive,3.3,"The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed. The signal quality is sufficient for a preliminary assessment, although some uncertainty remains. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.",True
STAR-008,KIC3000008,False_Positive,Professor_A,False_Positive,3.6,False_Positive,3.9,The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process.,True
STAR-009,KIC3000009,False_Positive,Professor_A,False_Positive,4.0,False_Positive,3.2,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,True
STAR-010,KIC3000010,False_Positive,Professor_A,Multi_Star,4.5,False_Positive,4.1,Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,False
STAR-011,KIC3000011,False_Positive,Professor_A,False_Positive,4.2,Triple_System,3.8,"The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. The signal quality is sufficient for a preliminary assessment, although some uncertainty remains.",False
STAR-012,KIC3000012,False_Positive,Professor_A,Multi_Star,4.5,False_Positive,3.5,"The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary.",False
STAR-013,KIC3000013,False_Positive,Professor_A,False_Positive,3.0,False_Positive,3.8,The system displays multiple repeating structures that may indicate more than two stellar components. The depth and spacing of the minima support the current classification. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-014,KIC3000014,False_Positive,Professor_A,False_Positive,4.5,False_Positive,3.1,The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-015,KIC3000015,False_Positive,Professor_A,False_Positive,3.8,False_Positive,3.4,"Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise. Several features suggest contamination or a harmonic signal rather than a true binary event. The signal quality is sufficient for a preliminary assessment, although some uncertainty remains.",True
STAR-016,KIC3000016,False_Positive,Professor_A,False_Positive,4.4,False_Positive,3.6,The depth and spacing of the minima support the current classification. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-017,KIC3000017,False_Positive,Professor_A,False_Positive,3.0,False_Positive,4.6,The observed dips are present but not well defined. Additional observations would improve confidence in the classification. The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process.,True
STAR-018,KIC3000018,False_Positive,Professor_A,False_Positive,3.7,False_Positive,4.0,The depth and spacing of the minima support the current classification. There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.,True
STAR-019,KIC3000019,False_Positive,Professor_A,False_Positive,3.8,Unknown,3.0,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The depth and spacing of the minima support the current classification. The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process.,False
STAR-020,KIC3000020,False_Positive,Professor_A,False_Positive,3.9,False_Positive,3.0,The observed dips are present but not well defined. Additional observations would improve confidence in the classification.,True
STAR-021,KIC3000021,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.9,Eclipsing_Binary,4.2,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. Flux changes appear regular across the observation window. This pattern is more consistent with an eclipsing binary than stellar noise.,True
STAR-022,KIC3000022,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.2,Eclipsing_Binary,3.8,Several features suggest contamination or a harmonic signal rather than a true binary event. The system displays multiple repeating structures that may indicate more than two stellar components. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
STAR-023,KIC3000023,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.2,Eclipsing_Binary,3.0,"The signal quality is sufficient for a preliminary assessment, although some uncertainty remains. The variability pattern does not cleanly match a binary light curve and may reflect another astrophysical process. The system displays multiple repeating structures that may indicate more than two stellar components.",True
STAR-024,KIC3000024,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.4,Eclipsing_Binary,4.9,"There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system. The light curve shows periodic variability, but the eclipse signature is weak and inconsistent with a typical eclipsing binary.",True
STAR-025,KIC3000025,Eclipsing_Binary,Professor_A,Eclipsing_Binary,3.6,Eclipsing_Binary,4.2,There is evidence of periodic eclipses. The morphology appears consistent with a compact eclipsing system.,True
STAR-026,KIC3000026,Eclipsing_Binary,Professor_A,Eclipsing_Binary,4.5,Eclipsing_Binary,4.0,Several features suggest contamination or a harmonic signal rather than a true binary event. The available evidence is mixed. A cautious classification is appropriate until follow-up analysis is performed.,True
