item_id,target_id,ground_truth,reviewer_name,reviewer_role,classification,confidence,time_spent_seconds,gpt_classification,gpt_confidence,gpt_reasoning,gpt_uncertainty
ITEM-001,KIC3863594,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.9,43,Unknown,3.2,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 1.",Moderate uncertainty.
ITEM-001,KIC3863594,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,4.6,41,Unknown,3.2,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 2.",Moderate uncertainty.
ITEM-001,KIC3863594,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.1,41,Unknown,3.2,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 3.",Moderate uncertainty.
ITEM-001,KIC3863594,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,3.0,33,Unknown,3.2,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 4.",Moderate uncertainty.
ITEM-001,KIC3863594,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,3.9,119,Unknown,3.2,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 5.",Moderate uncertainty.
ITEM-002,KIC10417986,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,4.2,30,Unknown,3.6,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 6.,Moderate uncertainty.
ITEM-002,KIC10417986,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,1.6,84,Unknown,3.6,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 7.",Moderate uncertainty.
ITEM-002,KIC10417986,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.6,73,Unknown,3.6,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 8.,Moderate uncertainty.
ITEM-002,KIC10417986,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.5,75,Unknown,3.6,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 9.,Moderate uncertainty.
ITEM-002,KIC10417986,False_Positive,Industry Professional,Research Professional,Unknown,2.1,35,Unknown,3.6,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 10.,Moderate uncertainty.
ITEM-003,KIC8912468,False_Positive,Professor A,Astronomy Professor,Multi_Star,1.3,67,Unknown,4.2,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 11.",Low uncertainty.
ITEM-003,KIC8912468,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.5,76,Unknown,4.2,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 12.",Low uncertainty.
ITEM-003,KIC8912468,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,3.8,35,Unknown,4.2,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 13.",Low uncertainty.
ITEM-003,KIC8912468,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.1,40,Unknown,4.2,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 14.",Low uncertainty.
ITEM-003,KIC8912468,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,2.5,88,Unknown,4.2,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 15.",Low uncertainty.
ITEM-004,KIC8758716,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.8,64,Unknown,3.9,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 16.,Moderate uncertainty.
ITEM-004,KIC8758716,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,3.7,39,Unknown,3.9,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 17.",Moderate uncertainty.
ITEM-004,KIC8758716,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,1.7,61,Unknown,3.9,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 18.,Moderate uncertainty.
ITEM-004,KIC8758716,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,2.5,111,Unknown,3.9,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 19.,Moderate uncertainty.
ITEM-004,KIC8758716,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,1.9,71,Unknown,3.9,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 20.,Moderate uncertainty.
ITEM-005,KIC10855535,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,1.1,70,Unknown,4.6,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 21.",Low uncertainty.
ITEM-005,KIC10855535,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,1.3,102,Unknown,4.6,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 22.",Low uncertainty.
ITEM-005,KIC10855535,False_Positive,Graduate Student A,Graduate Student,Triple_System,1.9,93,Unknown,4.6,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 23.",Low uncertainty.
ITEM-005,KIC10855535,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,4.7,88,Unknown,4.6,"Several indicators were reviewed, including signal stability, feature prominence, and agreement with established classification criteria. Review reference 24.",Low uncertainty.
ITEM-005,KIC10855535,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,1.6,101,Unknown,4.6,"The available evidence suggested this outcome after evaluating trend behavior, measurement confidence, and pattern similarity. Review reference 25.",Low uncertainty.
ITEM-006,KIC9472174,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,3.3,76,Unknown,4.5,The conclusion was reached by weighing the strongest observed features while accounting for ambiguity in the underlying data. Review reference 26.,Low uncertainty.
ITEM-006,KIC9472174,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,5.0,95,Unknown,4.5,"Observed signatures provided moderate support for this label, although some characteristics could also support alternative interpretations. Review reference 27.",Low uncertainty.
ITEM-006,KIC9472174,False_Positive,Graduate Student A,Graduate Student,Eclipsing_Binary,4.0,44,Unknown,4.5,This result follows from examining the primary detection markers and determining which category offered the closest overall match. Review reference 28.,Low uncertainty.
ITEM-006,KIC9472174,False_Positive,Graduate Student B,Graduate Student,Eclipsing_Binary,1.6,117,Unknown,4.5,The reasoning incorporates both the dominant signal features and the reliability of the supporting observations. Review reference 29.,Low uncertainty.
ITEM-006,KIC9472174,False_Positive,Industry Professional,Research Professional,Eclipsing_Binary,1.3,78,Unknown,4.5,The final label was selected after reviewing the balance of evidence and comparing competing classification possibilities. Review reference 30.,Low uncertainty.
ITEM-007,KIC9612468,False_Positive,Professor A,Astronomy Professor,Eclipsing_Binary,3.2,31,Unknown,4.0,"The decision was based on variability patterns, signal consistency, and how closely the observations matched known examples. Review reference 31.",Low uncertainty.
ITEM-007,KIC9612468,False_Positive,Professor B,Astronomy Professor,Eclipsing_Binary,1.5,98,Unknown,4.0,"This assessment considered the shape of the light curve, data quality, and whether the detected features aligned with expected behavior. Review reference 32.",Low uncertainty.
ITEM-007,KIC9612468,False_Positive,Graduate Student A,Graduate Student,Triple_System,1.4,85,Unknown,4.0,"The classification reflects a comparison of observed characteristics against reference cases, with attention to possible noise sources. Review reference 33.",Low uncertainty.
